"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"108",9,"Connor Heyward",PIT,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"109",9,"Ben Sims",MIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"110",9,"James Mitchell",CAR,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"111",9,"Shane Zylstra",DET,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"112",9,"Jaheim Bell",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"113",10,"Ko Kieft",TB,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"114",10,"Chris Manhertz",NYG,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"115",10,"Jake Tonges",SF,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"116",10,"Pharaoh Brown",ARI,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"117",10,"Thomas Odukoya",NE,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"118",10,"Benjamin Yurosek",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"119",10,"Caleb Lohner",DEN,"12","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"120",10,"Tucker Fisk",LAC,"12","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"121",10,"Brenden Bates",CLE,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"122",10,"Stephen Carlson",CHI,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"123",10,"Jack Stoll",NO,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"124",10,"Andrew Beck",NYJ,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
